doc_id,abstract,sentiment
10.1.1.407.6907,"ABSTRACT: Language is way of communicating your words Language helps in understanding the world,we get a better insight of the world. Language helps speakers to be as vague or as precise as they like. NLP Stands for natural language processing.. Natural languages are those languages that are spoken by the people.Natural language processing girdles everything a computer needs to understand natural language and also generates natural language.Natural language processing (NLP) is a field of computer science, artificial intelligence, and linguistics mainly focuses on the interactions between computers and human languages or natural languages. NLP is focussed on the area of human computer interaction. The need for natural language processing was also felt because there is a wide storage of information recorded or stored in natural language that could be accessible via computers. Information is constantly generated in the form of books, news, business and government reports, and scientific papers, many of which are available online or even in some reports. A system requiring a great deal of information must be able to process natural language to retrieve much of the information available on computers. Natural language processing is an interesting and difficult field in which we have to develop and evaluate or analyse representation and reasoning theories. All of the problems of AI arise in this domain; solving ""the natural language problem "" is as difficult as solving ""the AI problem "" because any field can be expressed or can be depicted in natural language.",positive
10.1.1.74.3046,"We report experiments on the use of standard natural language processing (NLP) tools for the analysis of music lyrics. A significant amount of music audio has lyrics. Lyrics encode an important part of the semantics of a song, therefore their analysis complements that of acoustic and cultural metadata and is fundamental for the development of complete music information retrieval systems. Moreover, a textual analysis of a song can generate ground truth data that can be used to validate results from purely acoustic methods. Preliminary results on language identification, structure extraction, categorization and similarity searches suggests that a lot of profit can be gained from the analysis of lyrics.",neutral
10.1.1.11.7760,"this paper, we will describe a simple rule-based approach to automated learning of linguistic knowledge. This approach has been shown for a number of tasks to capture information in a clearer and more direct fashion without a compromise in performance. We present a detailed case study of this learning method applied to part of speech tagging",neutral
10.1.1.36.1466,"This paper focuses on connectionist models in natural language processing. We briefly present and discuss several aspects of high level tasks which recently have been approached with connectionism, either with localist or parallel distributed processing models. Several interesting architectures have been proposed in the last decade, and connectionist natural language processing seems like a promising area for future research in artificial intelligence. 1. Introduction  The field of Natural Language Processing (NLP) is being approached in several different ways. Most NLP systems so far have been implemented with a symbolic approach, which is the more ""traditional"" approach to Artificial Intelligence (AI). After the revival of connectionism in the 1980s, when Rumelhart & McClelland[20] demonstrated that it was possible to get around the limitations which Minsky & Papert[15] pointed out in the 1960s, papers on connectionist approaches to NLP started to appear. Currently, it is well known ...",neutral
10.1.1.122.7687,Abstract: The article explores the possibility to construct a unified word feature out of the component features of letters. Each letter is modeled by a different attractor and finally embedded in a quadratic iterated map. The result is the word feature that can account for the meaning extraction process of language understanding. This is a new approach in natural language processing based on the deterministic chaotic behavior of dynamical systems. 1,neutral
10.1.1.14.1177,"this paper (see [Schank 86] for a theoretical discussion and [Kass 86] and [Leake and Owens 86] for brief discussions of a program built around these .principles); the goal here is simply  to point out how our interest in natural language processing has led us naturally, and indeed inevitably, to develop theories of explanation and creativity. Some may say that we have strayed from the core issues of NLP, but our point is that these are the core issues. The drive to eplain what might be 'going on in the stow guides the entire understanding process",neutral
10.1.1.638.4255,"Objectives To provide an overview and tutorial of natural language processing (NLP) and modern NLP-system design. Target audience This tutorial targets the medical informatics generalist who has limited acquaintance with the principles behind NLP and/or limited knowledge of the current state of the art. Scope We describe the historical evolution of NLP, and summarize common NLP sub-problems in this extensive field. We then provide a synopsis of selected highlights of medical NLP efforts. After providing a brief description of common machine-learning approaches that are being used for diverse NLP sub-problems, we discuss how modern NLP architectures are designed, with a summary of the Apache Foundation’s Unstructured Information Management Architecture. We finally consider possible future directions for NLP, and reflect on the possible impact of IBM Watson on the medical field.",neutral
10.1.1.14.6964,"This paper briefly describes the current implementation status of an intelligent information retrieval system, MARIE, that employs natural language processing techniques. Descriptive captions are used to iden- tify photographic images concerning various military projects. The captions are parsed to produce a logical form from which nouns and verbs are extracted to form the primary keywords. User queries are also specified in natural language. A two-phase search process employing coarse-grain and fine-grain match processes is used to find the captions that best match the query. A type hierarchy based on object-oriented programming constructs is used to represent the semantic knowledge base. This knowledge base contains knowledge of various military concepts and terminology with specifics from the Naval Weapons Center. Methods are used for creating the logical form during semantic analysis, generating the keywords to be used in the coarse-grain match process, and fine-grain matching between query and caption logical forms.",neutral
10.1.1.403.8220,"Abstract: Metabolism is the machinery of life and signal transduction provides the regulatory mechanisms to control that machinery. Due to the complexity of signal transduction pathways, computational approaches are needed to aid the biologist in integrating available knowledge and in the formulation of testable hypotheses. Our objective is to apply multi-agent systems to build a comprehensive system for study of signal transduction. The agent driven system draws inferences and hypothesizes pathways, evaluates predictions and identifies information relevant to signal transduction from both web based and literature resources. We describe here a system for agent directed natural language processing to extract information from journal articles. An interface was developed to permit curation of the NLP results and deposition of accepted results into a knowledge base. Motivation: The advent of high-throughput methods has revolutionized the field of biology, creating an information explosion in their wake. The daily accretion of experimental data from sequencing projects, scientific literature, gene array experiments and other high volume data pipelines, has prompted calls (Karp, 2001) to encode",neutral
10.1.1.34.9170,"This report presents a detailed analysis and review of NLP evaluation, in principle and in practice. Part 1 examines evaluation concepts and establishes a framework for NLP system evaluation. This makes use of experience in the related area of information retrieval and the analysis also refers to evaluation in speech processing. Part 2 surveys significant evaluation work done so far, for instance in machine translation, and discusses the particular problems of generic system evaluation. The conclusion is that evaluation strategies and techniques for NLP need much more development, in particular to take proper account of the influence of system tasks and settings. Part 3 develops a general approach to NLP evaluation, aimed at methodologically-sound strategies for test and evaluation motivated by comprehensive performance factor identification. The analysis throughout the report is supported by extensive illustrative examples.  This work was carried out under the UK Science and Engineeri...",neutral
10.1.1.406.4656,"Web has emerged as the most important source of information in the world. This has resulted in need for automated software components to analyze web pages and harvest useful information from them. However, in typical web pages the informative content is surrounded by a very high degree of noise in the form of advertisements, navigation bars, links to other content, etc. Often the noisy content is interspersed with the main content leaving no clean boundaries between them. This noisy content makes the problem of information harvesting from web pages much harder. Therefore, it is essential to be able to identify main content of a web page and automatically isolate it from noisy content for any further analysis. Most existing approaches rely on prior knowledge of website specific templates and hand-crafted rules specific to websites for extraction of relevant content. We propose a generic approach that does not require prior knowledge of website templates. While HTML DOM analysis and visual layout analysis approaches have sometimes been used, we believe that for higher accuracy in content extraction, the analyzing software needs to mimic a human user and under- stand content in natural language similar to the way humans intuitively do in order to eliminate noisy content. In this paper, we describe a combination of HTML DOM analysis and Natural Language Processing (NLP) techniques for automated extractions of main article with associated images from web pages.",positive
10.1.1.735.2951,"Abstract-- Natural Language Processing is a theoretically motivated range of computational techniques for analysing and representing naturally occurring texts at one or more levels of linguistic analysis for the purpose of achieving human-like language processing for a range of tasks or applications [1]. To perform natural language processing a variety of tools and platform have been developed, in our case we will discuss about NLTK for Python.The Natural Language Toolkit, or more commonly NLTK, is a suite of libraries and programs for symbolic and statistical natural language processing (NLP) for the Python programming language[2]. It provides easy-to-use interfaces to many corpora and lexical resources such as WordNet, along with a suite of text processing libraries for classification, tokenization, stemming, tagging, parsing, and semantic reasoning. In this paper we discuss different approaches for natural language processing using NLTK.",neutral
10.1.1.120.1783,"This paper reviews the processes involved in Natural Language Processing (NLP). It then demonstrates the various kinds of choices that need be taken during the execution of the word morphology, the syntactic text analysis, or text generation components. It compares the time complexity of traditional serial algorithms and examines the possible expected gain in some corresponding parallel counterparts. 1.",neutral
10.1.1.14.6658,"This article focusses on the derivation of large lexicons for natural language processing. We describe the  development of a dictionary support environment linking a restructured version of the Longman  Dictionary of Contemporary English to natural language processing systems. The process of restructuring  the information in the machine readable version of the dictionary is discussed. The Longman  grammar code system is used to construct 'theory neutral' lexical entries. We demonstrate how such  lexical entries can be put to practical use by linking up the system described here with the experimental  PATR-II grammar development environment. Finally, we offer an evaluation of the utility of the  grammar coding system for use by automatic natural language parsing systems",neutral
10.1.1.269.3995,"We introduce a method for analyzing the complexity of natural language processing tasks, and for predicting the difficulty new NLP tasks. Our complexity measures are derived from the Kolmogorov complexity of a class of automata — meaning automata, whose purpose is to extract relevant pieces of information from sentences. Natural language semantics is defined only relative to the set of questions an automaton can answer. The paper shows examples of complexity estimates for various NLP programs and tasks, and some recipes for complexity management. It positions natural language processing as a subdomain of software engineering, and lays down its formal foundation. 1",neutral
10.1.1.678.8129,"Deep learning has emerged as a new area of machine learning research. It tries to mimic the human brain, which is capable of processing and learning from the complex input data and solving different kinds of complicated tasks well. It has been successfully applied to several fields such as images, sounds, text and motion. The techniques developed from deep learning research have already been impacting the research of natural language process. This paper reviews the recent research on deep learning, its applications and recent development in natural language processing. 1",positive
10.1.1.131.50,This is an author-produced version of a paper published in The,neutral
10.1.1.698.3238,"Abstract—Natural language processing (NLP) is the application of automated parsing and machine learning techniques to analyze standard text. Applications of NLP to requirements engineering include extraction of ontologies from a requirements specification, and use of NLP to verify the consistency and/or completion of a requirements specification. This work-in-progress paper describes a new approach to the interpretation, organization and management of textual requirements through the use of application-specific ontologies and natural language processing. We also design and exercise a prototype software tool that implements the new framework on a simplified model of an aircraft.",neutral
10.1.1.30.2230,". Information retrieval addresses the problem of finding those  documents whose content matches a user's request from among a large  collection of documents. Currently, the most successful general purpose  retrieval methods are statistical methods that treat text as little more  than a bag of words. However, attempts to improve retrieval performance  through more sophisticated linguistic processing have been largely unsuccessful.  Indeed, unless done carefully, such processing can degrade  retrieval effectiveness.  Several factors contribute to the difficulty of improving on a good statistical  baseline including: the forgiving nature but broad coverage of the  typical retrieval task; the lack of good weighting schemes for compound  index terms; and the implicit linguistic processing inherent in the statistical  methods. Natural language processing techniques may be more  important for related tasks such as question answering or document summarization.  1 Introduction  Imagine that you...",neutral
10.1.1.100.8861,"Work in computational linguistics began very soon after the development of the first computers (Booth, Brandwood and Cleave 1958), yet in the intervening four decades there has been a pervasive feeling that progress in computer understanding of natural language has not been commensurate with progress in other computer applications. Recently, a number of prominent",neutral
10.1.1.636.6402,Abstract-A system that recognizes and authenticates the voice of a user by extracting the distinct features of their voice samples is usually termed as Voice recognition system. Voice identification is carried out by converting the human voice into digital data. The digitized audio samples then undergo feature excerption process to extract Mel Frequency Cepstral Coefficients features. These coefficients are subjected to feature matching through Dynamic Time Warping to match with the patterns existing in the database for limited Tamil words. This paper focuses on a secure system that deploys the voice recognition for a natural language (Tamil) by combining the digital and mathematical knowledge using MFCC and DTW to extract and match the features to improve the accuracy for better performance.,neutral
10.1.1.85.1163,Abstract: Testing against natural language requirements is the standard approach for system and acceptance testing. This test is often performed by an independent test organization unfamiliar with the application area. The only things the testers have to go by are the written requirements. So it is essential to be able to analyze those requirements and to extract test cases from them. In this paper an automated approach to requirements based testing is presented and illustrated on an industrial application.,neutral
10.1.1.1004.3511, ,neutral
10.1.1.414.2039,"algorithms that allow understanding and generation of humor. There is the general aim of modeling humor, and if we can do that, it will provide us with lots of information about our cognitive abilities in general, such as reasoning, remembering, understanding situations, and understanding conversational partners. But it also provides us with information about being creative, making associations, storytelling and language use. Many more subtleties in face-to-face and multiparty interaction can be added, such as using humor to persuade and dominate, to soften or avoid a face threatening act, to ease a tense situation or to establish a friendly or romantic relationship. One issue to consider is: when is a humorous act appropriate? This 2012 workshop is different from previous workshops [1,2]. The 1st and 2nd workshop on computational humor aimed at providing an opportunity to present scientific results on modelling humor, where modelling needs to be done in order to be able to understand humor and to generate humor in a context of human-computer interaction. The first workshop [1], organized at the University of Twente in September 1996, was an opportunity to listen to researchers and publicists such as Marvin Minsky, Douglas Hofstadter, and John Allen Paulos.",neutral
10.1.1.1075.2966,,neutral
10.1.1.363.9218,"In recent years, machine learning (ML) has been used more and more to solve complex tasks in different disciplines, ranging from Data Mining to Information",neutral
10.1.1.108.3911,"We argue that manual and automatic thesauruses are alternative resources for the same NLP tasks. This involves the radical step of interpreting manual thesauruses as classifications of words rather than word senses: the case for this is made. The range of roles for thesauruses within NLP is briefly presented and the WASPS thesaurus is introduced. Thesaurus evaluation is now becoming urgent. A range of evaluation strategies, all embedded within NLP tasks, is proposed.",neutral
10.1.1.24.9713,"Introduction  Patterns in music have been the object of intensive studies in the past years. \One of the purposes of analyzing musical structure and form is to discover the patterns that are explicit or implicit in musical works"" Simon [13]. Patterns comprise periodicity, make use of alphabets, can be compound (made up of subpatterns) and possess phrase structure with various forms of punctuation. Traditionally, composers have employed pattern propagation intuitively, but algorithmic composition techniques allow the pattern propagation to be formalized, albeit a high level. During composition, all the musical patterns evolve according to the rules and constraints specied at the design stage. In jazz improvisation, the musician invents a solo guided by a progression of chords (the changes). One approach [1] to learn improvising is to memorize patterns (short chunks of music) that t sub-progressions, and to concatenate them to form a whole solo that ts a whole progression. One",neutral
10.1.1.97.8115,"Abstract Many information retrieval(IR) systems retrieve relevant documents based on exact matching of keywords between a query and documents. This method degrades precision rate. In order to solve the problem, we collected semantically related words and assigned semantic relationships used in general thesaurus and a special relationship called keyfact term(FT) manually. In addition to the semantic knowledge, we automatically constructed statistic knowledge based on the concept of mutual information. Keyfact is an extended concept of keyword represented by noun and compound noun. Keyfact can be a verb and an adjective including subject or object term. We first retrieved relevant documents with original query using tf * idf weighting formula and then an expanded query including keyfacts is used in both second document ranking and word sense disambiguating. So we made an improvement in precision rate using keyfact network. 1",neutral
10.1.1.14.9942,this paper we argue that questionanswering  (QA) over technical domains  is distinctly different from TREC-based  QA or Web-based QA and it cannot  benefit lom data-intensive approaches,neutral
10.1.1.128.8488,Universit&quot;at des Saarlandes,neutral
10.1.1.222.435,Proceedings of the Workshop on,neutral
10.1.1.165.1017,uni-hamburg.de,neutral
10.1.1.703.6039,,neutral
10.1.1.709.9628,2 6,neutral
10.1.1.421.502,"SRI has developed a new architecture for integrating speech and natural-language processing that applies linguistic constraints during recognition by incrementally expanding the state-transition network embodied in a unification grammar. We compare this dynamic-gralnlnar-network (DGN) approach to its principal alternative, word-lattice parsing, presenting preliminary experimental results that suggest the DGN approach requires much less computation time than word-lattice parsing, while maintaining a very tractable recognition search space.",neutral
10.1.1.47.6021,"This chapter considers the revolution that has taken place in natural language processing research over the last five years. It begins by providing a brief guide to the structure of the field and then presents a caricature of two competing paradigms of 1980s NLP research and indicates the reasons why many of those involved have now seen fit to abandon them in their pure forms. Attention is then directed to the lexicon, a component of NLP systems which started out as Cinderella but which has finally arrived at the ball. This brings us to an account of what has been going on in the field most recently, namely a merging of the two 1980s paradigms in a way that is generating a host of interesting new research questions. The chapter concludes by trying to identify some of the key conceptual, empirical and formal issues that now stand in need of resolution. 1.1 Introduction The academic discipline that studies computer processing of natural languages is known as natural language processing ...",neutral
10.1.1.414.3403,"visual development environment to support the visual assembly, execution and analysis of modular natural language processing systems. The visual model is an executable data flow program graph, automatically synthesised from data dependency declarations of language processing modules. The graph is then directly executable: modules are run interactively in the graph, and results are accessible via generic text visualisation tools linked to the modules. These tools lighten the ‘cognitive load ’ of viewing and comparing module results by relating data produced by modules back to the underlying text, by reducing the amount of search in examining results, and by displaying results in context. Overall, the GATE integrated visual development environment leads to rapid understanding of system behaviour and hence to rapid system refinement, therefore demonstrating the utility of visual programming and visualisation techniques for the development of natural language processing systems. � 2001 Academic Press",neutral
10.1.1.33.315,"In this Chapter the basic uses of Description Logics for Natural Language Processing will be analysed, together with a little bit of history, and the role of Description Logics in the current state of the art in computational linguistics will be pointed out.  18.1 Introduction  Since the early days of the Kl-One system, one of the main applications of Description Logics has been for semantic interpretation in Natural Language Processing [ Brachman et al., 1979 ] . Semantic interpretation is the derivation process from the syntactic analysis of an utterance to its logical form { intended as the representation of its literal deep and context-dependent meaning. Typically, Description Logics have been used to encode in a knowledge base both syntactic and semantic elements needed to drive the semantic interpretation process. A part of the knowledge base constitutes the lexical semantics knowledge, relating words and their syntactic properties to concept structures, while the other part desc...",neutral
10.1.1.323.7775,"We applied a structure learning model, Max-Margin Structure (MMS), to natural language processing (NLP) tasks, where the aim is to capture the latent relationships within the output language domain. We formulate this model as an extension of multi–class Support Vector Machine (SVM) and present a perceptron–based learning approach to solve the problem. Experiments are carried out on two related NLP tasks: part–of–speech (POS) tagging and machine translation (MT), illustrating the effectiveness of the model. 1.",neutral
10.1.1.465.111,"Vast quantities of text are becoming available in elec-tronic form, ranging from published documents (e.g., electronic dictionaries, encyclopedias, libraries and archives for information retrieval services), to private databases (e.g., marketing information, legal records, medical histories), to personal email and faxes. Online information services are reaching mainstream computer users. There were over 15 million Internet users in 1993, and projections are for 30 million in 1997. With media attention reaching all-time highs, hardly a day goes by without a new article on the National Infor-mation Infrastructure, digital libraries, networked services, digital convergence or intelligent agents. This attention is moving natural language processing along the critical path for all kinds of novel applications. This article will mention a number of successful applications of natural language processing (NLP). Word processing and information management are two of the better examples, though there have been many others, both large and small. A small success, worth a few million or perhaps even a few tens of millions of dollars a year, is more than enough to support a small busi-ness. There have also been a few big successes, for example, $100 million or more a year in revenues, large enough to help create whole new industries. Of course, along with the successes, there have also been a few failures. We don’t want to contribute to the “hype’ ’ by mentioning only the success-es. The early boom and bust in machine translation (MT), starting with the first public demonstration of MT in 1954 and ending with the sobering find-ings of the ALPAC committee in 1966 [2], will be mentioned as an example of the danger of excessive optimism. While keeping these lessons of the past in mind, this article will describe a 71 A variety of suc-cessful applica-tions of natural language process-ing (NLP), both large and small, are surveyed in this article and new opportunities are explored.",neutral
10.1.1.174.7425,"Over the last few years, a number of areas of natural language processing have begun applying graph-based techniques. These include, among others, text summarization, syntactic parsing, word sense disambiguation, ontology construction, sentiment and subjectivity analysis, text clustering. In this paper, we present some of the most successful graph-based representations and algorithms used in language processing, and try to explain how and why they work. 1",neutral
10.1.1.10.717,"In Natural Language Processing (NLP), research results  from software engineering and software technology  have often been neglected.",neutral
10.1.1.190.9369,"Kernelized sorting is an approach for matching objects from two sources (or domains) that does not require any prior notion of similarity between objects across the two sources. Unfortunately, this technique is highly sensitive to initialization and high dimensional data. We present variants of kernelized sorting to increase its robustness and performance on several Natural Language Processing (NLP) tasks: document matching from parallel and comparable corpora, machine transliteration and even image processing. Empirically we show that, on these tasks, a semi-supervised variant of kernelized sorting outperforms matching canonical correlation analysis.",neutral
10.1.1.702.3165,"Natural language is a complex and compound organization that structures basic linguistic elements to represent various meanings. Therefore, to understand the nature of natural language, we need a sophisticated treatment of the basic elements as well as the insights about how these elements will be structured. In the words of statistical natural language processing, we need a sophisticated statistical model of the basic elements, such as words or phrases, to be combined with the structural modeling such as syntactic parsing or dependency analysis. Since the basic property of these elements is considered common over the whole corpora, we need to model their distributional property over the corpora by a statistical learning approach. In this dissertation, I focus on the statistical learning approach to the dis-tributional modeling of basic elements by considering two kinds of distributional units, that is, static units and dynamic units. Along these two units, I propose novel treatments of distributional units that are dierent from the methods used in natural language processing so far. In Chapter 2, I consider static units. Static units are the units we know a priori to be eective for a specic kind of task in hand; for example, documents, paragraphs, or sentences. For the treatment of these units, specically, measuring a distance between two units, kernel methods have been adopted recently. However, not all the",neutral
10.1.1.15.139,"In this paper, we describe a framework for developing probabilistic classifiers in natural language processing. Our focus is on formulating models that capture the most important interdependencies among features, to avoid overfitting the data while also characterizing the data well. The class of probability models and the associated inference techniques described here were developed in mathematical statistics, and are widely used in artificial intelligence and applied statistics. Our goal is to make this model selection framework accessible to researchers in NLP, and provide pointers to available software and important references. In addition, we describe how the quality of the three determinants of classifier performance (the features, the form of the model, and the parameter estimates) can be separately evaluated. We also demonstrate the classification performance of these models in a large-scale experiment involving the disambiguation of 34 words taken from the HECTOR word sense corpus (Hanks 1996). In 10-fold cross-validations, the model search procedure performs significantly better than naive Bayes on 6 of the words without being significantly worse on any of them",neutral
10.1.1.87.7608,"Many Natural Language Processing (NLP) techniques have been used in Information Retrieval. The results are not encouraging. Simple methods (stopwording, porter-style stemming, etc.) usually yield significant improvements, while higher-level processing (chunking, parsing, word sense disambiguation, etc.) only yield very small improvements or even a decrease in accuracy. At the same time, higher-level methods increase the processing and storage cost dramatically. This makes them hard to use on large collections. We review NLP techniques and come to the conclusion that (a) NLP needs to be optimized for IR in order to be effective and (b) document retrieval is not an ideal application for NLP, at least given the current state-of-the-art in NLP. Other IR-related tasks, e.g., question answering and information extraction, seem to be better suited. 1",neutral
10.1.1.672.9517,Abstract- This paper explains the information retrieval using natural language processing for Malayalam language in these basic,neutral
10.1.1.76.6300,"The research areas of plan recognition and natural language parsing share many common features and even algorithms. However, the dialog between these two disciplines has not been effective. Specifically, significant recent results in parsing mildly context sensitive grammars have not been leveraged in the state of the art plan recognition systems. This paper will outline the relations between natural language processing(NLP) and plan recognition(PR), argue that each of them can effectively inform the other, and then focus on key recent research results in NLP and argue for their applicability to PR. 1",neutral
10.1.1.96.4653,"The research areas of plan recognition and natural language parsing share many common features and even algorithms. However, the dialog between these two disciplines has not been effective. Specifically, significant recent results in parsing mildly context sensitive grammars have not been leveraged in the state of the art plan recognition systems. This paper will outline the relations between natural language processing(NLP) and plan recognition(PR), argue that each of them can effectively inform the other, and then focus on key recent research results in NLP and argue for their applicability to PR. 1",neutral
10.1.1.55.8290,"Information retrieval is the process of finding the documents in a document collection that satisfies the information need of the user. The documents are natural language constructs, and the motivation of this work is to investigate how natural language processing can be used to improve the performance of information retrieval systems. An abstract was supplied to the natural language processor TUC together with the necessary knowledge needed for TUC to understand the abstract. Then TUC was asked to determine the relevance of the abstract to some queries, and it was investigated how much extra knowledge needed to be supplied to TUC, in order to get the correct answer.  i Preface  This work is done as a term paper in the PhD-course Natural Language Interfaces at the Norwegian Institute of Technology during the fall of 1994. I wish to thank Associate Professor Tore Amble for always being prepared to answer questions concerning TUC that came up during the project. Trondheim, January 25, 1...",neutral
10.1.1.50.60,"While computational logic has become widely used for representing and reasoning with linguistic knowledge, the cross-fertilization between logic programming and machine learning has given rise to a new discipline known as inductive logic programming. Inspired by, and building on the achievements of logic programming within both natural language research and machine learning, we point out opportunities for induction of linguistic knowledge within logic (programming).  Keywords: inductive logic programming, natural language processing, logic programming, machine learning. 1 Introduction  There is a growing interest amongst both linguistic engineers and machine learning researchers for applying symbolic learning algorithms in natural language R&D  1  . Linguists confronted with the high cost of development of essential resources are drawn towards machine learning in search for generic technologies to exploit corpora for system training purposes. Vice versa machine learning researchers are...",neutral
10.1.1.7.8928,"What is a statistical method and how can it be used in natural language  processing (NLP)? In this paper, we start from a definition of NLP as concerned with  the design and implementation of effective natural language input and output components  for computational systems. We distinguish three kinds of methods that are  relevant to this enterprise: application methods, acquisition methods, and evaluation  methods. Using examples from the current literature, we show that all three kinds  of methods may be statistical in the sense that they involve the notion of probability  or other concepts from statistical theory. Furthermore, we show that these statistical  methods are often combined with traditional linguistic rules and representations. In  view of these facts, we argue that the apparent dichotomy between ""rule-based"" and  ""statistical"" methods is an over-simplification at best.",neutral
10.1.1.31.3498,"In this report, some collaborative work between the fields of Machine Learning (ML) and Natural Language Processing (NLP) is presented. The document is structured in two parts. The first part includes a superficial but comprehensive survey covering the state--of--the--art of machine learning techniques applied to natural language learning tasks. In the second part, a particular problem, namely Word Sense Disambiguation (WSD), is studied in more detail. In doing so, four algorithms for supervised learning, which belong to different families, are compared in a benchmark corpus for the WSD task. Both qualitative and quantitative conclusions are drawn. This document stands for the complementary documentation for the conference ""Aprendizaje autom 'atico aplicado al procesamiento del lenguaje natural"", given by the author within the course: ""Curso de Industrias de la Lengua: La Ingenier'ia Lingu'istica en la Sociedad de la Informaci'on"", Fundaci'on Duques de Soria. Soria. July 2000. 1 Con...",neutral
